157 1236
7 59
E 102 68 2466
E 50 135 1350
E 52 86 2238
E 122 3 4195
E 90 122 3246
E 136 18 4862
E 141 106 1234
E 44 136 4453
E 29 91 4971
E 25 47 1086
E 134 102 1637
E 39 38 3419
E 110 76 1124
E 136 152 1443
E 22 151 2300
E 154 114 1598
E 83 142 3636
E 39 81 567
E 110 90 1187
E 147 141 515
E 89 120 4516
E 119 90 2189
E 99 153 4004
E 97 115 2109
E 7 142 1
E 32 110 1534
E 76 80 2193
E 115 117 4690
E 153 121 3115
E 154 141 4734
E 37 34 4222
E 15 77 4374
E 75 45 2310
E 4 109 4155
E 45 79 1387
E 147 89 4268
E 35 141 2067
E 46 136 1639
E 104 54 3239
E 41 0 4448
E 8 12 2699
E 123 102 2131
E 146 149 4128
E 63 139 1766
E 42 134 2993
E 59 151 1531
E 19 28 4438
E 47 102 948
E 67 119 2760
E 42 153 2829
E 68 104 2828
E 51 152 679
E 72 6 943
E 53 93 877
E 20 25 2542
E 103 62 3840
E 39 83 4862
E 32 121 3988
E 80 42 4002
E 75 16 3176
E 111 82 3906
E 1 66 1535
E 9 78 3099
E 118 54 1752
E 28 24 3903
E 19 89 651
E 79 103 4822
E 3 69 1261
E 122 27 2439
E 151 34 905
E 37 86 3714
E 61 81 1378
E 112 129 3463
E 12 75 1338
E 97 36 3992
E 21 130 4289
E 129 72 2648
E 108 126 4862
E 27 76 1406
E 141 37 3112
E 81 63 1008
E 63 104 3446
E 87 120 1
E 31 52 4694
E 102 124 1
E 67 73 1462
E 80 48 1336
E 47 1 2782
E 112 101 2163
E 47 5 3132
E 36 10 2904
E 33 41 1730
E 85 151 1215
E 132 102 1
E 18 6 3894
E 49 114 3641
E 154 82 1377
E 138 95 3341
E 138 3 2669
E 80 64 2055
E 58 78 3609
E 5 92 1208
E 41 101 2061
E 42 91 3894
E 82 67 3227
E 21 115 1246
E 113 33 2829
E 133 34 4816
E 73 112 858
E 134 26 3415
E 87 15 2279
E 50 45 4133
E 105 119 4891
E 56 20 4829
E 116 56 3378
E 65 6 1732
E 59 52 4788
E 27 131 4756
E 75 55 3836
E 40 91 4296
E 0 26 3012
E 82 37 608
E 83 48 3613
E 18 65 3721
E 57 21 4937
E 71 53 3158
E 61 44 3695
E 5 118 985
E 58 107 2600
E 73 104 4564
E 82 87 2996
E 142 151 2218
E 87 125 2044
E 102 154 1973
E 147 69 2694
E 79 117 4083
E 128 75 3242
E 10 79 3549
E 145 46 1257
E 86 156 794
E 34 98 2812
E 38 44 3266
E 97 78 683
E 7 14 1540
E 116 149 1
E 41 84 1761
E 108 36 4341
E 59 17 2849
E 84 100 1215
E 19 5 1579
E 120 117 2747
E 146 9 1868
E 52 70 1234
E 66 40 1821
E 112 80 2949
E 153 12 3863
E 32 125 4900
E 39 85 1470
E 133 141 2827
E 125 4 2592
E 127 68 3960
E 23 63 2541
E 43 47 2354
E 36 32 537
E 28 22 4046
E 83 31 4171
E 10 75 4931
E 39 11 1965
E 137 153 2687
E 78 9 4311
E 3 103 3877
E 7 15 518
E 80 49 660
E 133 2 3710
E 17 64 2397
E 25 3 1176
E 156 66 4090
E 51 38 3393
E 116 1 3771
E 156 119 1882
E 71 81 3810
E 121 94 4768
E 86 79 3934
E 60 86 1226
E 115 154 2633
E 16 134 2245
E 0 108 3039
E 118 47 3974
E 68 61 1027
E 62 20 4443
E 88 144 3167
E 132 77 3430
E 69 5 4621
E 58 118 1440
E 54 17 4914
E 1 117 794
E 59 74 575
E 151 93 4150
E 87 37 4152
E 121 133 1971
E 45 131 3845
E 54 12 3865
E 115 138 1859
E 150 65 3354
E 124 32 2110
E 102 29 1527
E 48 148 2011
E 130 151 1359
E 32 79 3728
E 97 33 4273
E 114 15 3820
E 36 144 3147
E 100 92 4345
E 61 102 2738
E 77 110 1064
E 110 0 2069
E 38 1 604
E 52 101 2886
E 43 57 1136
E 54 47 3657
E 100 138 2325
E 135 16 4917
E 88 137 4076
E 92 38 1
E 111 136 3487
E 8 138 1469
E 126 30 2136
E 143 121 2907
E 92 62 4012
E 153 63 4732
E 140 25 661
E 29 65 4402
E 37 19 514
E 8 79 2431
E 91 23 4536
E 61 22 2524
E 104 60 1738
E 132 64 4436
E 14 2 1
E 68 101 1950
E 79 147 705
E 60 76 3728
E 28 119 753
E 63 15 3143
E 133 44 4651
E 72 83 1400
E 25 29 4013
E 84 104 2034
E 117 143 991
E 81 74 3922
E 57 31 2583
E 112 1 4632
E 24 46 598
E 59 90 1218
E 5 78 3523
E 50 100 4217
E 62 61 4997
E 151 31 1939
E 37 110 3386
E 118 110 3895
E 105 28 3246
E 34 26 3770
E 2 74 661
E 119 15 3197
E 49 98 1263
E 60 140 3739
E 120 111 2075
E 22 150 1979
E 5 108 1495
E 105 112 4616
E 92 10 2245
E 52 37 2073
E 0 72 1409
E 104 119 3500
E 84 41 934
E 4 103 1443
E 66 33 3040
E 72 155 2332
E 131 138 1644
E 4 39 932
E 29 36 4473
E 81 51 1646
E 103 128 3398
E 15 127 3067
E 118 62 4290
E 44 87 3046
E 127 24 3113
E 106 19 1514
E 16 148 560
E 24 86 639
E 32 93 4367
E 142 143 4431
E 34 21 3612
E 55 23 1
E 137 35 2135
E 19 74 2226
E 138 29 2219
E 13 40 1250
E 122 123 4885
E 32 97 4429
E 105 16 2633
E 124 47 578
E 84 96 1402
E 28 88 3876
E 121 59 1468
E 127 119 1787
E 139 62 3025
E 137 142 1274
E 122 11 3355
E 38 85 1639
E 147 87 2176
E 150 126 3350
E 70 9 2815
E 130 4 4702
E 63 102 2830
E 3 143 3528
E 133 41 3117
E 118 132 2569
E 3 56 4878
E 93 40 677
E 52 137 4799
E 156 32 1621
E 156 140 2924
E 19 151 2540
E 52 135 4245
E 36 38 3133
E 125 102 1573
E 8 133 1727
E 35 49 2322
E 46 59 1
E 135 91 2508
E 139 89 1091
E 90 130 2527
E 119 109 884
E 110 148 1036
E 56 3 1037
E 126 15 3122
E 90 25 4775
E 124 43 971
E 140 113 3341
E 150 31 558
E 140 97 2073
E 146 99 2020
E 126 41 2932
E 140 146 1567
E 52 123 1238
E 32 130 3492
E 70 130 4533
E 62 98 4129
E 78 108 2432
E 54 53 1575
E 10 146 2549
E 22 16 1523
E 139 44 2482
E 31 136 3132
E 118 41 1
E 109 6 3578
E 26 142 2046
E 30 10 3904
E 113 75 1834
E 79 13 4623
E 73 7 1922
E 102 89 2751
E 50 24 1797
E 27 140 3661
E 35 45 4060
E 107 81 3471
E 89 132 1042
E 22 127 1299
E 148 131 608
E 56 116 2240
E 29 110 1803
E 80 56 1274
E 143 107 3550
E 19 57 1225
E 87 33 3346
E 83 71 1585
E 98 125 1731
E 21 40 3307
E 147 133 600
E 44 147 4704
E 121 35 2479
E 99 8 3271
E 54 15 768
E 30 100 1513
E 139 105 4008
E 104 74 2347
E 28 42 1446
E 117 56 3465
E 112 34 2388
E 2 147 616
E 49 122 1493
E 126 44 4168
E 13 10 1022
E 66 67 2208
E 48 6 1197
E 133 96 3215
E 101 108 3322
E 64 77 2515
E 6 105 2513
E 109 47 3933
E 47 89 4030
E 41 96 4552
E 68 113 4308
E 107 154 4709
E 107 82 4141
E 126 33 3158
E 47 39 2057
E 122 84 2113
E 69 135 2581
E 21 36 3497
E 15 55 2607
E 140 92 3315
E 134 27 4381
E 6 119 718
E 123 96 1027
E 92 137 2587
E 56 144 4705
E 143 116 531
E 117 0 4909
E 93 73 3078
E 155 6 1723
E 43 83 1373
E 132 154 4637
E 33 58 3424
E 13 63 4208
E 113 101 1126
E 30 145 3752
E 124 152 1421
E 156 144 3857
E 47 84 4351
E 110 61 3986
E 127 43 3517
E 15 101 551
E 137 115 2858
E 95 116 3656
E 62 13 3423
E 152 151 1209
E 89 29 3746
E 62 153 3455
E 72 50 4195
E 80 58 1895
E 145 123 4315
E 126 90 1
E 151 110 3603
E 0 17 742
E 137 144 3662
E 74 100 4685
E 76 19 753
E 48 74 2833
E 31 15 1301
E 92 120 1585
E 146 66 1
E 95 49 2153
E 75 25 2458
E 18 96 1788
E 117 80 4458
E 58 93 1773
E 37 33 3922
E 30 25 3511
E 14 103 3061
E 83 12 4198
E 25 10 3055
E 1 83 3878
E 0 5 2226
E 20 130 3985
E 47 122 4329
E 72 15 3524
E 49 121 2696
E 127 98 4328
E 36 44 1685
E 54 60 4533
E 61 13 4482
E 94 75 4889
E 145 64 3164
E 149 139 4326
E 148 67 3101
E 76 106 1786
E 118 40 2558
E 122 79 2529
E 153 47 2154
E 28 87 1
E 28 96 2426
E 110 72 4010
E 118 14 3261
E 7 82 4310
E 143 130 2847
E 48 71 2536
E 91 21 4511
E 106 103 3848
E 102 66 689
E 154 60 4899
E 127 133 3389
E 126 11 1383
E 63 152 3097
E 0 90 1245
E 91 35 4975
E 152 135 3609
E 52 141 772
E 116 4 4123
E 85 78 1436
E 48 108 1146
E 42 38 4188
E 44 92 3719
E 101 132 1
E 34 89 3071
E 31 44 2172
E 131 32 2895
E 80 23 2974
E 3 101 3188
E 10 76 1649
E 80 35 2867
E 13 155 1648
E 70 49 4752
E 82 116 4746
E 150 138 2047
E 95 8 1925
E 115 11 3851
E 151 142 4386
E 19 134 2133
E 81 143 3302
E 75 56 2534
E 50 19 1315
E 67 105 2256
E 104 150 1570
E 39 149 4198
E 76 143 1503
E 133 153 3868
E 19 0 2109
E 6 150 2041
E 0 144 2651
E 87 75 3453
E 41 60 2632
E 67 152 2692
E 92 78 2730
E 19 100 738
E 59 5 3298
E 147 74 2404
E 142 111 1748
E 18 101 4443
E 30 126 3953
E 38 93 2903
E 108 121 3319
E 53 44 3750
E 116 128 804
E 109 88 1423
E 156 112 3295
E 34 113 530
E 107 17 804
E 35 87 1464
E 6 31 972
E 30 44 4921
E 120 54 3310
E 114 7 2842
E 118 55 2310
E 5 53 783
E 143 128 3242
E 156 23 2947
E 127 64 891
E 149 92 1
E 146 43 4184
E 54 34 532
E 76 32 3987
E 25 45 1278
E 97 65 2012
E 138 104 2606
E 117 122 4381
E 60 48 891
E 12 49 3816
E 64 82 3155
E 85 73 1884
E 51 72 4654
E 111 128 658
E 126 60 2023
E 104 154 2884
E 101 41 2803
E 68 40 3584
E 104 49 642
E 32 7 2548
E 33 11 1316
E 144 40 3673
E 154 139 1576
E 125 19 2143
E 76 17 2588
E 46 48 3825
E 7 55 1611
E 24 118 3435
E 5 143 681
E 50 59 2394
E 30 102 3800
E 34 5 1589
E 110 12 1876
E 45 17 2533
E 92 21 4283
E 87 154 505
E 58 45 520
E 75 80 2296
E 113 43 974
E 121 64 1661
E 49 40 3340
E 50 95 1027
E 7 136 770
E 10 63 4176
E 23 11 4640
E 126 114 2457
E 18 114 3771
E 81 66 3877
E 117 116 4229
E 52 40 3423
E 83 126 4195
E 37 104 3514
E 73 89 3179
E 111 59 1097
E 58 130 3907
E 39 111 1529
E 33 132 3178
E 95 5 4594
E 43 21 4674
E 7 17 2657
E 48 19 3738
E 149 123 2239
E 25 96 2814
E 156 3 3086
E 54 1 2094
E 91 14 1
E 59 144 1333
E 42 77 3056
E 90 52 3783
E 5 136 1077
E 36 3 1381
E 14 77 3273
E 102 135 4804
E 138 114 4503
E 68 146 1293
E 95 136 2540
E 27 110 3376
E 140 112 2646
E 37 61 4965
E 113 91 1166
E 133 150 813
E 28 86 1464
E 92 35 4700
E 147 134 1618
E 156 52 1
E 52 102 1185
E 78 130 4945
E 148 137 2871
E 32 36 3472
E 75 29 3125
E 109 149 665
E 139 108 2644
E 88 151 4285
E 67 103 1618
E 91 30 3410
E 120 127 1699
E 89 65 832
E 142 138 3512
E 131 45 4711
E 16 139 1
E 18 92 2257
E 129 57 4336
E 92 39 1147
E 3 156 1
E 12 7 694
E 144 156 3700
E 27 108 3425
E 75 87 2705
E 138 0 1243
E 144 22 3152
E 89 129 751
E 74 94 3313
E 62 149 871
E 19 37 1960
E 25 110 877
E 12 135 4003
E 32 74 3309
E 141 112 1244
E 1 155 4700
E 57 36 1445
E 73 6 2157
E 144 53 640
E 155 64 3508
E 97 63 2618
E 9 113 3116
E 18 95 702
E 7 34 2918
E 10 149 1712
E 135 85 1325
E 25 95 4473
E 23 107 1184
E 128 120 3438
E 124 18 1098
E 108 152 2876
E 114 148 4679
E 12 79 4589
E 82 35 3268
E 104 106 1195
E 145 133 3050
E 103 41 1338
E 109 16 1278
E 18 98 2031
E 12 43 2021
E 48 135 2247
E 30 130 4677
E 2 44 2215
E 73 126 934
E 111 67 3326
E 146 12 4596
E 75 134 4598
E 67 59 1753
E 130 72 2852
E 125 123 2457
E 105 122 3910
E 16 48 2734
E 122 61 3899
E 93 64 3096
E 131 151 1192
E 101 139 3810
E 18 88 1700
E 8 108 1792
E 73 121 3190
E 84 92 788
E 27 129 1951
E 75 110 3252
E 55 16 4948
E 87 48 2557
E 13 59 1167
E 41 66 1105
E 81 35 2586
E 11 111 2343
E 134 57 1818
E 24 101 1226
E 84 44 2969
E 50 113 2234
E 96 45 2951
E 136 21 4883
E 150 53 4625
E 152 148 2113
E 9 58 3165
E 131 141 3762
E 16 131 2792
E 152 82 4830
E 48 154 1660
E 58 14 1627
E 115 34 1141
E 8 31 1984
E 11 128 4998
E 29 109 1936
E 29 23 4478
E 12 117 3745
E 155 4 3370
E 68 9 2019
E 33 95 514
E 5 93 4146
E 16 26 4422
E 109 76 1194
E 108 96 2791
E 125 118 4657
E 133 110 3895
E 143 3 524
E 147 72 3841
E 35 37 1901
E 18 61 1172
E 147 62 1570
E 84 39 4407
E 1 63 2443
E 28 29 1058
E 85 25 1022
E 134 55 758
E 108 104 3064
E 43 153 4694
E 156 121 2438
E 30 47 1767
E 135 24 3845
E 148 8 4671
E 68 32 1664
E 71 102 1024
E 134 11 4617
E 41 92 4671
E 128 25 3484
E 121 54 1119
E 93 60 2355
E 124 35 4887
E 34 141 640
E 139 82 1
E 80 78 1606
E 35 55 1949
E 113 10 3750
E 137 85 4123
E 86 138 3552
E 34 95 1803
E 18 11 1802
E 98 76 3737
E 34 85 1050
E 149 137 4122
E 20 23 4909
E 104 139 2654
E 45 144 3334
E 91 52 4612
E 52 43 2484
E 115 131 2785
E 132 23 1477
E 72 88 4102
E 91 28 1456
E 65 153 4441
E 119 8 1549
E 103 102 1362
E 80 126 1
E 71 134 2510
E 30 11 1424
E 152 74 654
E 112 140 4910
E 66 37 595
E 123 156 976
E 142 54 2280
E 47 148 3922
E 105 37 3428
E 133 146 4601
E 67 63 694
E 127 86 3575
E 114 88 774
E 58 41 1435
E 79 30 4881
E 64 156 1251
E 146 82 1061
E 68 41 2852
E 2 54 2391
E 115 26 608
E 139 26 989
E 121 29 4290
E 63 97 1441
E 68 65 961
E 42 139 2646
E 119 18 4838
E 35 0 2552
E 81 139 2421
E 49 39 1671
E 114 107 1122
E 66 80 1
E 63 106 4335
E 103 40 3249
E 128 49 3785
E 103 22 4273
E 99 78 728
E 138 48 2595
E 30 98 1462
E 138 133 3653
E 140 117 1406
E 33 6 2241
E 156 102 3598
E 82 46 3936
E 138 65 3381
E 145 154 2596
E 56 136 4863
E 99 43 1233
E 139 104 3335
E 155 103 2826
E 2 13 1284
E 11 34 2693
E 93 50 3841
E 85 146 2666
E 141 34 1899
E 84 99 1367
E 16 104 3085
E 132 80 3555
E 36 15 3834
E 4 5 554
E 33 111 1100
E 149 105 1184
E 39 112 1268
E 32 88 2297
E 87 133 738
E 68 36 2689
E 20 38 1467
E 119 23 3137
E 126 136 4772
E 12 15 2373
E 60 33 4441
E 122 141 4819
E 136 88 2001
E 127 136 1273
E 144 87 1949
E 95 70 3974
E 81 149 4650
E 99 132 2027
E 53 117 679
E 116 24 1725
E 117 75 2759
E 131 72 2061
E 57 65 2820
E 40 115 3919
E 108 23 2903
E 44 99 4266
E 126 7 3683
E 14 150 1234
E 92 126 4596
E 84 97 1625
E 54 11 2744
E 97 19 1584
E 20 148 3599
E 126 91 1762
E 137 95 3437
E 35 78 4097
E 3 128 1014
E 104 25 1075
E 149 12 1640
E 61 54 1487
E 100 110 1567
E 103 2 4735
E 47 146 1408
E 13 114 2517
E 104 12 3600
E 145 60 765
E 103 45 2197
E 39 66 595
E 133 114 2193
E 41 18 708
E 51 12 4993
E 69 16 3781
E 137 31 4552
E 34 39 2307
E 48 147 2151
E 95 156 2609
E 74 142 1354
E 62 11 2239
E 9 154 1010
E 57 122 1662
E 61 124 3340
E 110 60 2731
E 47 114 2265
E 26 124 3451
E 0 14 2088
E 110 22 1513
E 121 96 519
E 104 84 4029
E 59 123 1294
E 130 18 4741
E 36 28 1
E 107 151 3571
E 0 119 1783
E 108 95 4722
E 89 3 2054
E 59 113 4143
E 130 96 4034
E 150 95 3359
E 142 118 1
E 23 114 1239
E 113 146 3145
E 110 137 2201
E 99 36 3460
E 23 37 2416
E 108 107 909
E 65 36 1615
E 99 154 850
E 9 27 1229
E 43 58 3210
E 52 144 2526
E 114 133 3855
E 146 6 3313
E 149 10 4600
E 112 52 4158
E 135 122 1907
E 52 145 1987
E 17 134 4419
